107	135	179
124	132	179
128	130	175
123	122	185
118	134	187
119	130	180
119	135	180
124	141	180
126	125	182
126	121	181
121	128	184
130	131	180
128	132	172
133	125	180
127	131	187
128	120	182
126	133	185
120	121	178
123	131	183
119	128	174
125	115	168
130	128	178
123	131	175
135	131	172
135	123	174
133	123	180
121	129	184
127	137	173
131	122	174
155	122	180
126	141	180
133	127	195
126	129	179
131	126	180
126	130	177
134	132	172
130	128	180
133	128	180
119	120	191
129	126	173
127	119	186
132	139	159
123	138	182
148	135	176
147	125	188
104	126	180
113	130	187
126	113	164
128	115	110
127	134	184
143	126	158
156	144	180
137	124	180
137	136	183
178	120	152
125	118	180
150	044	162
132	124	169
125	135	187
132	124	183
112	129	170
121	129	177
129	124	179
130	120	174
125	127	185
127	132	183
117	127	182
124	134	177
127	118	182
128	132	185
134	132	185
123	130	187
126	134	179
123	132	180
125	127	189
126	115	183
130	122	170
133	122	179
116	125	178
155	131	178
171	129	170
117	132	194
127	117	179
131	123	176
122	122	191
123	120	015
129	113	176
116	128	189
138	130	178
125	134	168
131	124	179
124	134	175
121	132	179
125	126	176
107	130	188
127	128	210
124	114	178
127	131	176
141	131	183
123	123	185
122	133	177
117	126	180
139	123	179
120	130	180
133	116	170
121	119	184
128	125	181
129	131	180
131	127	183
135	133	180
130	132	168
128	119	187
129	135	178
124	130	183
128	124	179
121	135	174
134	127	180
127	129	174
130	121	182
090	130	186
126	124	174
129	141	182
122	124	183
125	124	184
126	129	180
129	126	190
139	127	179
128	131	172
130	125	182
124	123	172
124	128	174
130	114	175
126	117	168
121	128	179
118	124	180
127	128	174
145	115	179
120	128	174
104	125	177
136	135	183
122	130	183
128	136	176
123	130	176
135	124	169
119	125	174
139	122	180
123	127	174
131	126	180
123	125	191
133	130	174
123	126	182
125	127	183
125	131	183
131	128	184
126	120	170
131	126	179
123	127	172
130	114	184
131	123	180
143	135	185
142	126	179
153	130	181
144	127	166
158	127	170
163	133	171
176	121	163
170	131	159
174	121	162
175	119	153
181	130	150
191	130	144
177	136	127
185	128	112
182	141	129
180	126	124
176	133	135
178	121	152
177	122	165
163	131	158
159	132	166
156	132	185
150	135	171
143	136	174
142	123	180
138	133	185
127	128	185
137	133	177
133	129	181
137	135	181
128	125	180
140	124	181
141	123	175
127	130	174
147	128	183
133	124	177
142	128	187
138	131	177
122	129	179
128	125	189
123	125	171
131	125	185
127	125	184
122	115	188
131	129	187
131	125	187
129	136	181
126	124	176
122	135	177
127	133	187
138	113	181
123	128	179
128	126	184
119	128	187
123	131	167
138	113	181
123	129	183
124	132	178
130	129	183
110	122	170
120	133	171
131	121	185
120	123	186
127	127	170
117	133	189
118	128	180
124	127	179
122	117	179
129	134	180
131	126	179
121	114	174
127	123	177
133	121	184
118	123	168
129	115	182
126	119	169
121	105	156
104	110	195
122	118	147
118	128	201
122	137	168
112	129	189
133	127	173
125	130	188
128	120	172
130	129	167
128	123	179
122	118	173
121	111	185
126	120	184
123	119	183
124	118	156
106	104	236
128	128	252
127	128	176
127	113	186
125	120	179
134	121	164
119	126	187
127	122	176
125	130	169
126	131	170
122	122	184
129	126	173
126	120	181
118	124	185
126	121	174
128	125	186
130	130	179
140	106	116
133	122	152
128	127	219
138	122	156
121	130	182
126	125	181
125	131	169
133	119	171
130	118	166
126	116	179
128	124	181
127	122	164
133	122	175
128	119	121
000	126	185
117	134	255
132	139	176
128	122	191
135	124	191
124	134	181
143	128	179
124	125	173
134	134	187
121	131	187
134	115	181
130	131	184
131	125	181
123	128	204
124	124	166
134	132	176
142	141	174
128	121	175
120	121	187
123	119	176
135	123	188
134	151	194
086	150	168
174	143	199
124	141	177
082	139	171
093	124	166
143	134	209
073	139	164
087	109	177
140	139	156
222	141	187
101	117	189
142	131	189
154	130	172
125	128	188
124	120	183
133	135	188
113	129	179
122	130	182
132	131	180
126	131	167
128	126	182
118	133	170
122	127	179
133	128	172
